Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,year,month
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,USWD12112914,1204,43.2,318018082.0,41062.0,14552186.0,65.0,580242930.0,3471774.0,"103,897","128,850,291","1,100,134,488","67,010,140",35.0,2041.0,1.0,"10,044",18.0,"49,383,663","66,811",466130.0,0,2021,11
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,QZ9QQ2400330,1202,43.2,25593926.0,1247.0,63521139.0,78.0,7493616.0,162691.0,,,,,18.0,,10.0,"1,604,245",9.0,"68,326",56,33433.0,0,2024,5
Praise God,Donda,Kanye West,USUM72116287,1208,43.1,451323154.0,143071.0,22968843.0,67.0,75632640.0,1192980.0,"1,232,812","540,795,852","4,707,280,248","144,247,309",24.0,1395.0,10.0,"38,020",25.0,"14,923,065","9,847",3075257.0,0,2021,8
Friesenjung,Friesenjung,Ski Aggu,DE1FB2300037,1205,43.1,150508549.0,70377.0,9755773.0,70.0,31956891.0,485999.0,,,,"54,635,920",24.0,5723.0,12.0,"67,068",4.0,,,703536.0,1,2023,5
El Azul,El Azul - Single,Junior H,QZ9QQ2300115,1206,43.1,684103586.0,42304.0,22784674.0,76.0,125144381.0,583066.0,"433,800","68,202,730","622,470,844","445,229,053",37.0,112.0,4.0,"1,164,409",9.0,"10,305,981","2,327",764296.0,0,2023,2
EARFQUAKE,IGOR,"Tyler, The Creator",USQX91901111,1207,43.1,962546385.0,198786.0,34308753.0,76.0,262134097.0,4025958.0,"55,093","46,126,757","247,993,418","14,944,702",106.0,1834.0,52.0,"709,963",38.0,"10,998,403","48,358",1242490.0,1,2019,5
Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,QZDQH2148787,1210,43.0,347218974.0,34933.0,16279085.0,57.0,662346628.0,2983631.0,"163,723","31,953,097","394,751,759","59,180,203",23.0,9924.0,2.0,"6,546",38.0,"76,029,663","61,601",1337426.0,0,2021,8
if u think i'm pretty,if u think i'm pretty,Artemas,QZTB92397158,1212,43.0,219995278.0,26538.0,17112526.0,78.0,25556375.0,392029.0,"277,500","83,793,501","561,266,399","17,454,770",18.0,1072.0,12.0,"129,691",10.0,"284,934",750,757462.0,1,2023,10
Fin de Semana,Fin de Semana,Oscar Maydon,QZ9QQ2300040,1211,43.0,568846143.0,38126.0,18723665.0,76.0,209204080.0,876672.0,"4,469","2,225,214","19,351,144",,25.0,275.0,4.0,"1,270,150",8.0,"26,957,938","5,256",896673.0,0,2023,1
My Oh My (feat. DaBaby),Romance,Camila Cabello,USSM11914257,1218,42.9,703865912.0,78873.0,23552368.0,68.0,344504691.0,5473016.0,"1,434,048","288,727,576","2,298,790,080","262,934,830",74.0,243345.0,41.0,"101,125",21.0,"136,780,685","92,037",3703911.0,0,2019,12
